IMG_2887 cameo
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7,8,8,8,8, 9,9,9,9, 
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,5, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,0,0,1,1,1, 2,2,2,3,3,3,4,4, 4,4,6,6,6,7,7,8, 8,8,8,9, 
9,9,9,12,12,12,12,12, 12,12,12,7,7,8,8,8, 8,9,9,9,9,0,0,1, 1,1,2,2, 
2,3,3,3,4,4,4,4, 12,12,12,12,7,7,8,8, 8,8,9,9,9,9,0,0, 0,0,0,0, 
12,12,12,12,12,12,12,12, 13,13,13,13,13,13,13,13, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,6,6,6,7,7, 8,8,8,8,9,9,9,9, 12,12,12,12,13,13,13,13, 13,13,13,13, 
12,12,12,12,13,13,13,13, 0,0,1,1,1,2,2,2, 12,12,12,12,13,13,13,13, 13,13,13,13, 
12,12,12,12,13,13,13,13, 0,0,1,1,1,2,2,2, 12,12,12,12,13,13,13,13, 13,13,13,13, 
12,12,12,12,13,13,13,13, 0,0,1,1,1,2,2,2, 12,12,12,12,13,13,13,13, 13,13,13,13, 

IMG_2888 sierra
0,0,5,5,5,5,5,5, 5,5,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,6,7, 
7,8,8,8,8,9,9,9, 9,9,9,9,9,9,9,9, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,0,0,1,1,1, 2,2,2,3,3,3,4,4, 4,4,6,6,6,7,7,8, 8,8,8,9, 
9,9,9,13,13,13,13,13, 0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7, 
8,8,8,8,9,9,9,9, 13,13,13,13,13,13,13,13, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,6,6,6,7,7, 8,8,8,8,9,9,9,9, 13,13,13,13,13,13,13,13, 14,14,14,14, 
14,14,14,14,14,14,14,14, 0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7, 
8,8,8,8,9,9,9,9, 13,13,13,13,13,13,13,13, 14,14,14,14,14,14,14,14, 14,14,14,14, 
10,10,10,10,10,10,10,10, 0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7, 
8,8,8,8,9,9,9,9, 13,13,13,13,13,13,13,13, 14,14,14,14,14,14,14,14, 14,14,14,14,

IMG_2889 erica
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,4, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,6,6,6,7,7, 8,8,8,8,9,9,9,9, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,6,6,6,7,7, 8,8,8,8,9,9,9,9, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,14,14,14,14,14, 0,0,5,5,5,5,5,5, 5,5,5,5,5,5,5,6, 6,6,7,7, 
8,8,8,8,9,9,9,9, 0,0,1,1,1,2,2,2, 3,3,3,14,14,14,14,14, 14,14,14,14, 
14,14,14,14,10,10,10,10, 10,10,10,10,0,0,1,1, 1,2,2,2,3,3,3,4, 4,4,4,6, 
6,6,7,7,8,8,8,8, 9,9,9,9,14,14,14,14, 14,14,14,14,14,14,14,14, 10,10,10,10, 
10,10,10,10,5,5,5,5, 5,5,5,5,14,14,14,14, 10,10,10,10,13,13,13,13, 13,13,13,13, 
12,12,12,12,12,12,12,12, 5,5,5,5,5,5,5,5, 14,14,14,14,10,10,10,10, 13,13,13,13, 
13,13,13,13,12,12,12,12, 12,12,12,12,5,5,5,5, 5,5,5,5,14,14,14,14, 10,10,10,10, 

IMG_2890 alex
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7,8,8,8,8, 9,9,9,9, 
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7,8,8,8,8, 9,9,9,9, 
9,9,9,6,6,6,7,7, 8,8,8,8,9,9,9,9, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,10,10,10,10,11, 10,10,10,10,10,10,10,10, 0,0,1,1,1,2,2,2, 3,3,3,4, 
4,4,4,6,6,6,7,7, 8,8,8,8,9,9,9,9, 10,10,10,10,0,0,0,0, 0,0,0,0, 
0,0,1,1,1,2,2,2, 3,3,3,4,4,4,4,6, 6,6,7,7,8,8,8,8, 9,9,9,9, 
10,10,10,10,10,10,10,10, 12,12,12,12,12,12,12,12, 0,0,1,1,1,2,2,2, 10,10,10,10, 
10,10,10,10,12,12,12,12, 12,12,12,12,0,0,1,1, 1,2,2,2,10,10,10,10, 10,10,10,10, 
12,12,12,12,12,12,12,12, 0,0,1,1,1,2,2,2, 10,10,10,10,12,12,12,12, 13,13,13,13, 
10,10,10,10,12,12,12,12, 13,13,13,13,0,0,1,1, 1,2,2,2,10,10,10,10, 12,12,12,12,
